date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Thu Feb 28 2019 02:42:32 GMT+0530 (India Standard Time),,Chennai,Current Employee ,Project Manager,,0,,,,5.0,,,,,
Wed Feb 20 2019 20:56:58 GMT+0530 (India Standard Time),,,Current Employee ,Manager,,0,,,,5.0,3.0,4.0,5.0,5.0,4.0
Tue Mar 05 2019 17:57:29 GMT+0530 (India Standard Time),,,Former Employee ,Business Presentation Specialist,,0,,,,4.0,3.0,3.0,4.0,4.0,4.0
Tue Mar 05 2019 05:05:54 GMT+0530 (India Standard Time),,,Current Employee ,good,,0,,,,4.0,5.0,5.0,4.0,4.0,3.0
Mon Mar 04 2019 02:17:09 GMT+0530 (India Standard Time), Designer,,Current Employee ,Good place for a beginner,,0,,,,3.0,2.0,2.0,3.0,3.0,1.0
Fri Feb 08 2019 05:05:00 GMT+0530 (India Standard Time), Business Presentation Specialist,Chennai,Former Employee ,Employee oriented company,,0,,,,5.0,5.0,5.0,5.0,5.0,5.0
Fri Feb 15 2019 14:27:27 GMT+0530 (India Standard Time), Consultant,Mumbai,Former Employee ,Stressful but great people,,0,,,,4.0,3.0,4.0,5.0,4.0,3.0
Thu Feb 07 2019 03:21:07 GMT+0530 (India Standard Time),,,Former Employee ,Engagement Manager,,0,,,,5.0,3.0,3.0,5.0,5.0,3.0
Tue Feb 05 2019 01:36:46 GMT+0530 (India Standard Time),,,Current Employee ,Best work culture,,0,,,,5.0,,,,,
Sun Feb 17 2019 08:25:16 GMT+0530 (India Standard Time), Junior Digital Analyst,Bangalore,Current Employee ,Very demanding job,,0,,,,3.0,1.0,5.0,4.0,5.0,4.0
Sat Feb 16 2019 03:38:23 GMT+0530 (India Standard Time),,,Current Employee ,Research Associate,,0,,,,4.0,3.0,5.0,5.0,3.0,5.0
Sun Jan 27 2019 16:59:57 GMT+0530 (India Standard Time), Business Presentation Specialist,Chennai,Former Employee ,Great working here!,,0,,,,5.0,5.0,4.0,4.0,5.0,4.0
Mon Feb 11 2019 08:41:08 GMT+0530 (India Standard Time),,,Current Employee ,associate partner,,0,,,,4.0,,,,,
Thu Feb 07 2019 00:36:04 GMT+0530 (India Standard Time), Research Specialist,Mumbai,Current Employee ,Great people and perks,,0,,,,4.0,,,,,
Sat Feb 02 2019 18:52:23 GMT+0530 (India Standard Time),,,Current Employee ,Expert Consultant,,0,,,,4.0,3.0,4.0,4.0,4.0,4.0
Fri Jan 18 2019 00:23:08 GMT+0530 (India Standard Time),,,Current Employee ,A company with great benefits,,0,,,,5.0,5.0,5.0,5.0,5.0,3.0
Mon Jan 28 2019 05:00:00 GMT+0530 (India Standard Time),,,Former Employee ,Dream Company to work with,,0,,,,4.0,5.0,5.0,4.0,5.0,4.0
Tue Jan 08 2019 00:09:19 GMT+0530 (India Standard Time),,,Current Employee ,Business Analyst,,0,,,,5.0,,,,,
Thu Jan 03 2019 18:17:08 GMT+0530 (India Standard Time), Job Coordinator,Chennai,Former Employee ,Job Coordinator,,0,,,,5.0,3.0,5.0,3.0,3.0,3.0
Thu Jan 03 2019 02:03:34 GMT+0530 (India Standard Time), Associate,Mumbai,Former Employee ,Best Employer ever,,0,,,,5.0,3.0,5.0,5.0,5.0,5.0
Wed Dec 19 2018 20:18:48 GMT+0530 (India Standard Time),,,Current Employee ,great global company to work with,,0,,,,5.0,1.0,4.0,3.0,2.0,2.0
Fri Dec 21 2018 03:54:14 GMT+0530 (India Standard Time),,,Current Employee ,Associate,,0,,,,5.0,2.0,5.0,5.0,5.0,5.0
Thu Jan 03 2019 23:48:54 GMT+0530 (India Standard Time), Associate,Bangalore,Former Employee ,Associate,,0,,,,4.0,,,,,
Tue Nov 27 2018 06:52:37 GMT+0530 (India Standard Time), Junior Digital Analyst,Bangalore,Current Employee ,Amazing Place if you want to learn new things,,0,,,,5.0,4.0,5.0,5.0,5.0,5.0
Tue Nov 27 2018 06:55:15 GMT+0530 (India Standard Time),,,Current Employee ,BPS,,0,,,,5.0,5.0,4.0,1.0,3.0,3.0
Thu Nov 22 2018 02:27:09 GMT+0530 (India Standard Time), Business Presentation Specialist,Chennai,Former Employee ,Learn and earn a lot,,0,,,,5.0,3.0,5.0,4.0,5.0,5.0
Sun Nov 11 2018 08:58:03 GMT+0530 (India Standard Time), Chief Executive Officer & Co,"Gurgaon, Haryana",Former Employee ,"Unparalleled place to learn, grow and have fun!",,0,,,,5.0,2.0,5.0,5.0,4.0,3.0
Sun Dec 02 2018 05:17:47 GMT+0530 (India Standard Time),,,Current Employee ,Analyst,,0,,,,4.0,1.0,3.0,4.0,3.0,2.0
Mon Nov 26 2018 18:35:12 GMT+0530 (India Standard Time),,,Former Employee ,Accounts payables,,0,,,,4.0,3.0,4.0,1.0,4.0,1.0
Wed Nov 07 2018 03:08:11 GMT+0530 (India Standard Time),,,Former Employee ,Great place to accelerate your career,,0,,,,5.0,5.0,,,,
Thu Nov 08 2018 02:29:44 GMT+0530 (India Standard Time),,,Former Employee ,Excellent Place to work,,0,,,,4.0,4.0,5.0,4.0,4.0,5.0
Tue Oct 16 2018 00:40:17 GMT+0530 (India Standard Time),,,Current Employee ,BPS Grade 2,,0,,,,5.0,3.0,5.0,4.0,5.0,5.0
Wed Oct 10 2018 03:09:38 GMT+0530 (India Standard Time), Associate,Mumbai,Current Employee ,Associate,,0,,,,5.0,3.0,4.0,5.0,5.0,5.0
Mon Oct 08 2018 21:08:45 GMT+0530 (India Standard Time), Senior Recruiting Administrator,"Gurgaon, Haryana",Current Employee ,Supportive and flexible environment,,0,,,,5.0,5.0,4.0,3.0,3.0,4.0
Wed Oct 03 2018 23:32:26 GMT+0530 (India Standard Time),,,Former Employee ,Phenomenal exposure,,0,,,,5.0,3.0,5.0,5.0,5.0,4.0
Mon Oct 22 2018 08:50:51 GMT+0530 (India Standard Time),,,Former Employee ,Professional development,,0,,,,3.0,3.0,3.0,3.0,3.0,3.0
Sat Oct 20 2018 04:00:22 GMT+0530 (India Standard Time), Devops Engineer,"Gurgaon, Haryana",Current Employee ,Devops,,0,,,,4.0,5.0,5.0,4.0,4.0,4.0
Sun Oct 14 2018 10:11:43 GMT+0530 (India Standard Time), Senior Consultant,Bangalore,Current Employee ,"Let it be, Really!",,0,,,,2.0,1.0,1.0,4.0,4.0,2.0
Wed Sep 26 2018 12:35:11 GMT+0530 (India Standard Time), Engineering Lead,"Gurgaon, Haryana",Current Employee ,Life at McKinsey,,0,,,,5.0,3.0,5.0,3.0,5.0,4.0
Mon Sep 24 2018 23:08:13 GMT+0530 (India Standard Time), Business Analyst,New Delhi,Former Employee ,Great working here at McKinsey,,0,,,,5.0,,,,,
Sun Oct 07 2018 12:17:57 GMT+0530 (India Standard Time), Junior Digital Analyst,Bangalore,Former Employee ,Amazing place to start your career,,0,,,,4.0,4.0,4.0,4.0,5.0,4.0
Mon Oct 08 2018 02:42:59 GMT+0530 (India Standard Time), Team Lead,New Delhi,Current Employee ,Manager,,0,,,,4.0,4.0,4.0,4.0,4.0,2.0
Mon Oct 01 2018 06:42:28 GMT+0530 (India Standard Time),,,Current Employee ,good company,,0,,,,3.0,3.0,2.0,2.0,3.0,1.0
Mon Sep 10 2018 11:59:03 GMT+0530 (India Standard Time), Service Operation Specialist,"Gurgaon, Haryana",Current Employee ,Knowledge Analyst,,0,,,,5.0,2.0,5.0,5.0,4.0,5.0
Sun Sep 23 2018 10:23:52 GMT+0530 (India Standard Time),,,Former Employee ,"A good place to work, though not entirely tech focussed",,0,,,,4.0,2.0,4.0,4.0,4.0,3.0
Mon Sep 17 2018 02:54:35 GMT+0530 (India Standard Time), Business Presentation Specialist,Chennai,Former Employee ,A great experience,,0,,,,4.0,2.0,4.0,3.0,4.0,4.0
Fri Sep 28 2018 04:27:00 GMT+0530 (India Standard Time), Manager,,Former Employee ,Manager,,0,,,,1.0,1.0,,,,
Tue Sep 04 2018 11:20:03 GMT+0530 (India Standard Time), Business Presentation Designer,Chennai,Former Employee ,Decent workplace but too much pressure,,0,,,,3.0,3.0,5.0,3.0,5.0,5.0
Sun Aug 19 2018 10:18:43 GMT+0530 (India Standard Time),,,Current Employee ,Ca,,0,,,,5.0,,,,,
Fri Aug 10 2018 21:50:40 GMT+0530 (India Standard Time), Research Assistant,"Gurgaon, Haryana",Former Employee ,Research Analyst Intern,,0,,,,5.0,4.0,4.0,5.0,3.0,3.0
Mon Jul 30 2018 23:02:35 GMT+0530 (India Standard Time), BPS,Thiruvananthapuram,Current Employee ,Good,,0,,,,5.0,,,,,
Fri Jul 27 2018 02:20:58 GMT+0530 (India Standard Time),,,Current Employee ,Business Presentation Specialist role in McKinsey,,0,,,,5.0,5.0,5.0,5.0,5.0,5.0
Tue Jul 24 2018 04:11:20 GMT+0530 (India Standard Time), Recruiter,"Gurgaon, Haryana",Current Employee ,Best place to grow professionally,,0,,,,5.0,2.0,5.0,5.0,4.0,5.0
Mon Aug 06 2018 02:37:49 GMT+0530 (India Standard Time), Engagement Manager,,Current Employee ,One of the best places to acquire business skills and accelerate your career,,0,,,,4.0,2.0,4.0,5.0,4.0,
Wed Aug 01 2018 20:17:49 GMT+0530 (India Standard Time), Senior Data Analyst,Chennai,Current Employee ,Good but can be better,,0,,,,4.0,2.0,5.0,4.0,5.0,3.0
Mon Jul 30 2018 05:10:52 GMT+0530 (India Standard Time),,,Former Employee ,Good Work Culture,,0,,,,4.0,4.0,4.0,4.0,3.0,3.0
Mon Jul 23 2018 05:45:40 GMT+0530 (India Standard Time),,Chennai,Current Employee ,Value driven firm,,0,,,,3.0,1.0,4.0,1.0,4.0,2.0
Thu Jul 05 2018 06:08:03 GMT+0530 (India Standard Time), Consultant,Mumbai,Former Employee ,Best for management,,0,,,,5.0,5.0,5.0,5.0,5.0,5.0
Thu Jul 19 2018 00:17:52 GMT+0530 (India Standard Time), Senior Technology Specialist,Bangalore,Former Employee ,"One of the best companies, I have wokred for",,0,,,,3.0,1.0,3.0,3.0,3.0,2.0
Wed Jun 20 2018 13:55:15 GMT+0530 (India Standard Time), Senior Implementation Coach,Mumbai,Former Employee ,McKinsey Implementation in India is a no go for experienced professionals with pedigree,,0,,,,2.0,1.0,3.0,1.0,3.0,1.0
Sat May 19 2018 16:01:09 GMT+0530 (India Standard Time), Business Presentation Specialist,Chennai,Current Employee ,The best place to work,,0,,,,5.0,3.0,5.0,4.0,5.0,5.0
Wed May 16 2018 09:12:23 GMT+0530 (India Standard Time), BPS,Chennai,Former Employee ,Good atmosphere for learning and growth,,0,,,,5.0,4.0,5.0,3.0,5.0,5.0
Fri Jun 01 2018 06:02:11 GMT+0530 (India Standard Time), Senior Business Presentation Specialist,Thiruvananthapuram,Former Employee ,Best Company to Work,,0,,,,4.0,5.0,,,,
